%n density lambda lse TP FP 
%n density lambda lse TP FP 
50 0.0614 0.2 1.854604 0.7587549 0.7753036
50 0.0614 0.2 1.891239 0.8015564 0.7652887
50 0.0614 0.2 1.845453 0.8015564 0.7675261
50 0.0614 0.2 1.822215 0.8093385 0.7628383
50 0.0614 0.2 1.759051 0.8287938 0.7744513
50 0.0612 0.2 1.829208 0.7851562 0.7686408
50 0.0612 0.2 1.834919 0.7773438 0.7621432
50 0.0612 0.2 1.862248 0.8085938 0.7686408
50 0.0612 0.2 1.745319 0.8046875 0.769493
50 0.0612 0.2 1.805386 0.7890625 0.7626758
50 0.0616 0.2 1.833721 0.8255814 0.760017
50 0.0616 0.2 1.837914 0.7868217 0.7736573
50 0.0616 0.2 1.821710 0.8217054 0.7733376
50 0.0616 0.2 1.861902 0.7635659 0.7762148
50 0.0616 0.2 1.922957 0.7713178 0.7771739
50 0.0614 0.2 1.81454 0.7821012 0.771042
50 0.0614 0.2 1.825887 0.8210117 0.7713616
50 0.0614 0.2 1.823363 0.7821012 0.7700831
50 0.0614 0.2 1.855286 0.7976654 0.7689111
50 0.0614 0.2 1.822388 0.8132296 0.761986
50 0.0618 0.2 1.841283 0.7779923 0.7763803
50 0.0618 0.2 1.828522 0.7760618 0.7733959
50 0.0618 0.2 1.906059 0.7567568 0.7704114
50 0.0618 0.2 1.83022 0.7953668 0.7722234
50 0.0618 0.2 1.884690 0.8108108 0.7745683
%n density lambda lse TP FP 
50 0.2188 0.2 1.844677 0.7844828 0.7674091
50 0.2188 0.2 1.891209 0.7691571 0.7772657
50 0.2188 0.2 1.915369 0.77682 0.780082
50 0.2188 0.2 1.901888 0.7753831 0.7694572
50 0.2188 0.2 1.844623 0.7844828 0.7734255
50 0.2196 0.2 1.837202 0.7600191 0.7722963
50 0.2196 0.2 1.873557 0.7872137 0.7669144
50 0.2196 0.2 1.793388 0.7585878 0.7606356
50 0.2196 0.2 1.814553 0.7776718 0.7688365
50 0.2196 0.2 1.790336 0.7681298 0.7666581
50 0.219 0.2 1.85121 0.7655502 0.762356
50 0.219 0.2 1.823094 0.7875598 0.765685
50 0.219 0.2 1.907400 0.7885167 0.771831
50 0.219 0.2 1.831937 0.7894737 0.7619718
50 0.219 0.2 1.877665 0.7598086 0.7709347
50 0.2182 0.2 1.875185 0.7804995 0.7691225
50 0.2182 0.2 1.910901 0.7857829 0.7678434
50 0.2182 0.2 1.797164 0.7646494 0.7682272
50 0.2182 0.2 1.895411 0.7771374 0.7720645
50 0.2182 0.2 1.878916 0.7761768 0.7651573
50 0.2194 0.2 1.901263 0.799427 0.77402
50 0.2194 0.2 1.898771 0.7841452 0.7706892
50 0.2194 0.2 1.855176 0.78319 0.7651806
50 0.2194 0.2 1.787743 0.7793696 0.7732513
50 0.2194 0.2 1.92262 0.7927412 0.7796567
%n density lambda lse TP FP 
50 0.3138 0.2 1.834855 0.7843976 0.7704751
50 0.3138 0.2 1.830382 0.7725477 0.780239
50 0.3138 0.2 1.864646 0.789006 0.7643544
50 0.3138 0.2 1.852167 0.7909809 0.7700379
50 0.3138 0.2 1.859349 0.7929559 0.783445
50 0.3146 0.2 1.809277 0.764281 0.7639335
50 0.3146 0.2 1.867513 0.7820092 0.7684564
50 0.3146 0.2 1.875174 0.7859488 0.7718121
50 0.3146 0.2 1.810412 0.7790545 0.7753137
