%n density  glcalls lse TP FP 
80 0.0614 13 1.169321 0.5719844 0.4596207
80 0.0614 7 1.201839 0.5097276 0.4664394
80 0.0612 11 1.242405 0.5546875 0.4667661
80 0.0612 7 1.188626 0.53125 0.4524925
80 0.0612 11 1.224892 0.5234375 0.4524925
80 0.0612 6 1.181961 0.5429688 0.472092
80 0.0612 4 1.209282 0.5429688 0.4674052
80 0.0616 7 1.170248 0.5077519 0.4671782
80 0.0616 7 1.185188 0.5155039 0.4455456
80 0.0616 11 1.237781 0.5542636 0.4573743
80 0.0616 7 1.241096 0.5503876 0.4662191
80 0.0616 13 1.193731 0.5193798 0.4789003
80 0.0614 11 1.230955 0.5291829 0.475815
80 0.0614 7 1.207442 0.5758755 0.4583422
80 0.0614 13 1.188636 0.4785992 0.4532282
80 0.0614 7 1.185822 0.5642023 0.4640955
80 0.0614 13 1.168472 0.5836576 0.4523759
80 0.0618 7 1.208833 0.4980695 0.4606694
80 0.0618 7 1.206947 0.5250965 0.4598167
80 0.0618 12 1.214485 0.4980695 0.4689832
80 0.0618 7 1.204482 0.5907336 0.4561927
80 0.0618 13 1.247463 0.5135135 0.4719676
80 0.2188 13 1.244869 0.493295 0.4633897
80 0.2188 13 1.235413 0.5220307 0.4664619
80 0.2188 11 1.238344 0.5239464 0.468766
80 0.2188 7 1.220724 0.5143678 0.4626216
80 0.2188 7 1.239208 0.5086207 0.4595494
80 0.2196 14 1.234532 0.5438931 0.4710405
80 0.2196 11 1.203239 0.5400763 0.4636084
80 0.2196 7 1.208997 0.5171756 0.4592517
80 0.2196 13 1.27601 0.5267176 0.4728344
80 0.2196 12 1.216798 0.5248092 0.4720656
80 0.219 13 1.238441 0.4784689 0.4535211
80 0.219 13 1.252133 0.5368421 0.4714469
80 0.219 14 1.215006 0.537799 0.4645327
80 0.219 4 1.198474 0.5205742 0.459283
80 0.219 12 1.248688 0.5129187 0.4608195
80 0.2182 4 1.213688 0.5350624 0.465848
80 0.2182 11 1.242521 0.5465898 0.4668713
80 0.2182 12 1.24626 0.5302594 0.4594525
80 0.2182 4 1.217065 0.5043228 0.465848
80 0.2182 15 1.223481 0.5581172 0.4561269
80 0.2194 4 1.240834 0.5444126 0.4614399
80 0.2194 7 1.232809 0.4842407 0.4683577
80 0.2194 13 1.278337 0.5062082 0.4742506
80 0.2194 11 1.219611 0.5286533 0.4527287
80 0.2194 11 1.253117 0.548233 0.4709198
80 0.3138 12 1.256961 0.4950625 0.4717284
80 0.3138 12 1.227288 0.5233706 0.4638589
80 0.3138 13 1.237832 0.5194207 0.4712912
80 0.3138 13 1.234640 0.5332456 0.4625474
80 0.3138 12 1.2861 0.5418038 0.452492
80 0.3146 13 1.219942 0.5338148 0.4638167
80 0.3146 4 1.204863 0.4990151 0.4658594
80 0.3146 7 1.210968 0.5167433 0.4757806
80 0.3146 13 1.268873 0.5095207 0.4715495
80 0.3146 12 1.242029 0.5246225 0.4794281
80 0.3138 11 1.206374 0.5128374 0.472457
80 0.3138 7 1.204226 0.5174457 0.4820752
80 0.3138 13 1.188033 0.5283081 0.4619644
80 0.3138 13 1.240241 0.5009875 0.4730399
80 0.3138 13 1.225925 0.5187623 0.4744972
80 0.3128 12 1.221840 0.5284016 0.4612922
80 0.3128 13 1.212864 0.5046235 0.4496508
80 0.3128 7 1.180541 0.509247 0.4662398
80 0.3128 13 1.21 0.5250991 0.4607101
80 0.3128 12 1.239814 0.5343461 0.4822468
80 0.3138 7 1.203240 0.5246873 0.4715826
80 0.3138 4 1.217654 0.5167874 0.4447683
80 0.3138 11 1.225632 0.5292956 0.4701253
80 0.3138 13 1.205167 0.5227123 0.4707082
80 0.3138 6 1.202302 0.5253456 0.4806179
110 0.0614 6 1.011035 0 0
110 0.0614 6 1.037859 0 0
110 0.0614 6 1.059026 0.007782101 0.001065417
110 0.0614 6 1.012623 0 0.0004261666
110 0.0614 6 1.020864 0 0
110 0.0612 6 1.005615 0 0
110 0.0612 6 1.005598 0.00390625 0.0004260758
110 0.0612 6 1.028173 0 0.0006391138
110 0.0612 6 0.9716483 0 0
